user_input,response,reference,faithfulness,faithfulness_error
比較發哥和 GG 2025年第四季營收,"根據您提供的參考資料，我僅能找到聯發科（2454.TW）的 2025 年第四季營收數據。關於台積電（2330.TW）的 2025 年第四季營收數據未在參考資料中揭露。

以下為可獲取的數據整理：

| 公司代號 | 期間 | 項目 | 金額 (百萬新台幣) | 資料來源 |
| :--- | :--- | :--- | :--- | :--- |
| 2454.TW (聯發科) | 4Q 2025 | Net Sales (淨銷售額) | 150,188 | 參考資料區塊 |
| 2330.TW (台積電) | 4Q 2025 | 營收數據 | [財報未揭露] | 參考資料未提及 |","MTK2025年第四季營收是 NT$150,188 百萬元, TSMC2025年第四季營收是 NT$1,046.09 billion",0.5,
台積電2025年第四季營收,"| 指標 | 數值 (NT$ billions) | 資料來源 |
| :--- | :--- | :--- |
| 台積電 2025年第四季淨營收 (Net Revenue for 4Q25) | 1,046.09 | 參考資料區塊 (I. Revenue Analysis) |","Net revenue was NT$1,046.09 billion",1.0,
2330 2025年第三季營收,2330 2025年第三季營收為 **NT$989.92億**（根據參考資料中的 Net Revenue 數據）。,Net revenue was NT$989.92 billion in 3Q25.,1.0,
在季度現金流分析報告裡，TSMC 在2025年第四季的期末現金餘額?,"在提供的參考資料中，TSMC在2025年第四季（4Q25）的期末現金餘額相關數據如下表所示（單位為新台幣十億元）：

| 項目 | 金額 (NT$ billions) | 資料來源 |
| :--- | :--- | :--- |
| Cash & Marketable Securities (現金及可動性證券) | 3,068.59 | 參考資料區塊 |","In end of 4Q2025 and quarterly cash flow analysis, ending cash balance was NT$2,767.86 billion.",0.8,
在季度現金流分析報告裡，台積電2025年第四季現金部位變動金額是?,在季度現金流分析報告中，台積電 2025 年第四季的現金部位變動金額是 **NT$640.23 billion** (基於參考資料中的「Cash Position Net Changes」數據)。,"During the fourth quarter, cash position increased by NTD297.10 billion.",1.0,
在季度現金流分析報告裡，台積電2025年第三季期末現金餘額是?,[財報未揭露],"In end of 3Q2025 and quarterly cash flow analysis, ending cash balance was NT$2,470.76 billion.",0.0,
在季度現金流分析報告裡，TSMC 在2024年第四季的期末現金餘額?,"在季度現金流分析報告中，TSMC 在2024年第四季（4Q24）的期末現金餘額為 **NT$2,127.63 十億** (基於「Ending Cash Balance」數據)。

| 季度 | 期末現金餘額 (NT$ billions) | 資料來源 |
| :--- | :-------------------------- | :------- |
| 4Q24 | 2,127.63                    | IV - 1. Quarterly Cash Flow Analysis |","In end of 4Q2024 and quarterly cash flow analysis, ending cash balance was NTD 2,127.63 billions.",1.0,
TSMC 在2025年第四季的增加或減少自由現金流餘額?,"TSMC 在 2025 年第四季（4Q25）的自由現金流是 **NT$368.60 billion 的流入**。

資料指出，這主要是因為營運現金流的增加超過了資本支出的增加。",Free cash flow increased by NT$229.22 billion in 4Q25,1.0,
3nm 製程收益佔台積電 2025年第四季營收比例是幾%?,"3nm 製程收益佔台積電2025年第四季營收比例是 **28%**。

資料來源：參考資料區塊 (nue Analysis)。",3nm process technology contributed 28% of total wafer revenue in 4Q25 while 5nm and 7nm accounted for 35% and 14% respectively.,0.5,
3nm 製程收益佔台積電 2024年第四季營收比例是幾%?,[財報未揭露],3nm process technology contributed 26% of total wafer revenue in 4Q24.,0.0,
依照晶圓製程世代，3nm 製程收益佔台積電 2025年全年營收比例是幾%?,[財報未揭露],3nm process technology contributed 24% of total wafer revenue in 2025.,0.0,
依照晶圓製程世代，3nm 製程收益佔台積電 2024年全年營收比例是幾%?,[財報未揭露],3nm process technology contributed 18% of total wafer revenue in 2024.,0.0,
TSMC 在2025年第四季的銷貨成本是?,[財報未揭露],NTD 394.10 billions,0.0,
GG 2025年第三季營收是?,[財報未揭露],Net revenue was NT$989.92 billion in 3Q25.,0.0,
GG 2025年第四季對第三季營收增長比例是?,"| 指標 | 數值 | 資料來源 |
| :--- | :--- | :--- |
| GG 2025年第四季對第三季營收增長比例 | 5.7% | 參考資料區塊 (Net revenue was NT$1,046.09 billion, representing a 5.7% increase from NT$989.92 billion in 3Q25) |",Net revenue in 4Q25 was 5.4% increased from in 3Q25.,0.6666666666666666,
台積電 2025年第四季和第三季的現金股利金額是?,"根據提供的參考資料：

*   **2025年第三季 (3Q25) 的現金股利金額：** 台積電董事會批准了 **NT$6.00** 的現金股利，適用於 2025 年第三季。
*   **2025年第四季 (4Q25) 的現金股利金額：** [財報未揭露]",Cash dividends in 4Q25 was NT$ 129.66 billions. Cash dividends in 3Q25 was NT$ 116.70 billions.,0.6666666666666666,
台積電 2025年第四季淨利率是?,[財報未揭露],Net profit margin in 4Q25 was 48.3%.,1.0,
台積電 2025年全年淨利率是?,"台積電 2025年全年淨利率為 **45.1%**。

（資料來源：參考資料區塊中「Net profit margin was 45.1%, up 4.6 percentage points from 40.5% in 2024.」）",Net profit margin in 2025 was 45.1%.,1.0,
TSMC 2025年全年毛利率是?,TSMC 2025年全年毛利率為 **59.9%** (相較於2024年的56.1%)。,"On a full year basis, gross margin was 59.9% in 2025.",0.5,
TSMC 2024年全年毛利率是?,[財報未揭露],"On a full year basis, gross margin was 56.1% in 2024.",0.0,
