user_input,response,reference,faithfulness,faithfulness_error
比較發哥和 GG 2025年第四季營收,"根據您提供的參考資料，以下是發哥（聯發科）和 GG（台積電）在 2025 年第四季的營收比較：

| 公司 | 期間 | 營收 (新台幣百萬) | 資料來源 |
| :--- | :--- | :--- | :--- |
| 聯發科 (2454.TW) | 2025 Q4 | 150,188 | 參考資料區塊 |
| 台積電 (2330.TW) | 2025 Q4 | 1,046,090 (總淨收入) | 參考資料區塊 |

**說明：**

*   **聯發科 (2454.TW)：** 根據參考資料，其 2025 年第四季的淨銷售額（Net Sales）為 **150,188 百萬新台幣**。
*   **台積電 (2330.TW)：** 參考資料中提供了 2025 年第四季的總淨收入為 **NT$1,046.09 billion**（即 1,046,090 百萬新台幣）。

請注意，兩家公司提供的數據粒度不同，聯發科提供的是單一季度的詳細營收數據，而台積電提供的是該季度總收入的彙總數據。","MTK2025年第四季營收是 NT$150,188 百萬元, TSMC2025年第四季營收是 NT$1,046.09 billion",1.0,
台積電2025年第四季營收,"台積電2025年第四季的淨營收（Net Revenue）為 **1,046.09 億新台幣** (NT$ billions)。","Net revenue was NT$1,046.09 billion",1.0,
2330 2025年第三季營收,2025年第三季的營收（Net Revenue）為 NT$989.92 億。,Net revenue was NT$989.92 billion in 3Q25.,1.0,
在季度現金流分析報告裡，TSMC 在2025年第四季的期末現金餘額?,"在季度現金流分析報告中，TSMC 在2025年第四季的期末現金餘額為 **NT$2,767.86 億**。","In end of 4Q2025 and quarterly cash flow analysis, ending cash balance was NT$2,767.86 billion.",1.0,
在季度現金流分析報告裡，台積電2025年第四季現金部位變動金額是?,在季度現金流分析報告中，台積電2025年第四季的現金部位變動金額是 **NT$640.23 億** (來自 IV - 1. Quarterly Cash Flow Analysis 表格)。,"During the fourth quarter, cash position increased by NTD297.10 billion.",1.0,
在季度現金流分析報告裡，台積電2025年第三季期末現金餘額是?,[財報未揭露],"In end of 3Q2025 and quarterly cash flow analysis, ending cash balance was NT$2,470.76 billion.",0.0,
在季度現金流分析報告裡，TSMC 在2024年第四季的期末現金餘額?,"TSMC 在 2024 年第四季的期末現金餘額為 NT$2,127.63 billion。

**資料來源：** 參考資料區塊中「IV - 1. Quarterly Cash Flow Analysis (In NT$ billions)」表格。","In end of 4Q2024 and quarterly cash flow analysis, ending cash balance was NTD 2,127.63 billions.",1.0,
TSMC 在2025年第四季的增加或減少自由現金流餘額?,"TSMC 在 2025 年第四季的自由現金流為 **NT$368.60 billion**（流入）。

此結果是基於參考資料中「Operating and Free Cash Flow」部分提供的數據。",Free cash flow increased by NT$229.22 billion in 4Q25,1.0,
3nm 製程收益佔台積電 2025年第四季營收比例是幾%?,"3nm 製程收益佔台積電2025年第四季營收（晶圓收入）的比例是 **28%**。

資料來源：參考資料區塊中「Revenue Analysis」部分。",3nm process technology contributed 28% of total wafer revenue in 4Q25 while 5nm and 7nm accounted for 35% and 14% respectively.,1.0,
3nm 製程收益佔台積電 2024年第四季營收比例是幾%?,"台積電在 2024年第四季（4Q24）的晶圓收入中，3nm 的比例是 **26%**。

*資料來源：參考資料區塊中「I. Revenue Analysis」表格 (Wafer Revenue by Technology, 4Q24)*",3nm process technology contributed 26% of total wafer revenue in 4Q24.,0.6666666666666666,
依照晶圓製程世代，3nm 製程收益佔台積電 2025年全年營收比例是幾%?,[財報未揭露],3nm process technology contributed 24% of total wafer revenue in 2025.,0.0,
依照晶圓製程世代，3nm 製程收益佔台積電 2024年全年營收比例是幾%?,[財報未揭露],3nm process technology contributed 18% of total wafer revenue in 2024.,0.0,
TSMC 在2025年第四季的銷貨成本是?,[財報未揭露],NTD 394.10 billions,0.0,
GG 2025年第三季營收是?,"| 公司代號 | 時間點 | 營收 (Net Revenue) | 資料來源 |
| :--- | :--- | :--- | :--- |
| 2330.TW (台積電) | 2025年第三季 (3Q25) | 989.92 億新台幣 (NT$ billions) | 參考資料區塊 |",Net revenue was NT$989.92 billion in 3Q25.,0.0,
GG 2025年第四季對第三季營收增長比例是?,"GG 2025年第四季對第三季營收增長比例是 **5.7%**。

（資料來源：參考資料區塊中關於 Net revenue 的描述）",Net revenue in 4Q25 was 5.4% increased from in 3Q25.,1.0,
台積電 2025年第四季和第三季的現金股利金額是?,"根據提供的參考資料：

*   **2025年第三季 (3Q25) 現金股利金額：** NT$6.00
*   **2025年第四季 (4Q25) 現金股利金額：** [財報未揭露]",Cash dividends in 4Q25 was NT$ 129.66 billions. Cash dividends in 3Q25 was NT$ 116.70 billions.,0.5,
台積電 2025年第四季淨利率是?,[財報未揭露],Net profit margin in 4Q25 was 48.3%.,0.0,
台積電 2025年全年淨利率是?,[財報未揭露],Net profit margin in 2025 was 45.1%.,0.0,
TSMC 2025年全年毛利率是?,TSMC 2025年的毛利率（Gross margin）為 **59.9%**，相較於2024年的56.1%，增長了3.8個百分點。,"On a full year basis, gross margin was 59.9% in 2025.",1.0,
TSMC 2024年全年毛利率是?,TSMC 2024年全年毛利率是 56.1%。,"On a full year basis, gross margin was 56.1% in 2024.",1.0,
TSMC 2025年全年營收比例來自 High performance computing是幾%? 如果依照應用領域區分。,"根據提供的參考資料，TSMC 在特定時間點的營收按應用領域區分如下：

| 應用領域 (Platform) | 2025 年佔比 | 資料來源 |
| :--- | :--- | :--- |
| High Performance Computing (HPC) | 55% | 參考資料 |
| Smartphone | 32% | 參考資料 |
| Internet of Things (IoT) | 5% | 參考資料 |
| Automotive | 5% | 參考資料 |
| Digital Consumer Electronics (DCE) | 1% | 參考資料 |
| Others | 2% | 參考資料 |

**總結：** 根據參考資料，TSMC 在該時間點的淨收入中，來自 **High Performance Computing (HPC)** 的比例為 **55%**。","On a full year basis, net revenue from HPC was 58% by platform in 2025.",1.0,
TSMC 2024年全年營收比例來自 High performance computing是幾%?,"TSMC 2024年全年營收比例來自 High performance computing 是 **51%**。（資料來源：參考資料區塊中 ""Net Revenue by Platform"" 表格）","On a full year basis, net revenue from HPC was 51% by platform in 2024.",1.0,
TSMC 依照客戶來源地區分，2025年全年營收比例來自北美地區是幾%?,"TSMC 依照客戶來源地區分，2025年全年營收比例來自北美地區為 **75%**。

**資料來源：** 參考資料區塊中明確指出：「In 2025, revenue from customers based in North America accounted for 75% of total net revenue...」","In 2025, revenue from customers based in North America accounted for 75% of total net revenue.",1.0,
